"","Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
"606","Adult","No","Travel_Rarely","High (800 - 1199)","Research & Development","Close-by","Low","Life Sciences","Low","Female","Low (< 50)","Moderate","Juniors","Laboratory Technician","High","Divorced","Low (< 4000)","Low (< 10000)","High","No","Very High","High","Low","Moderate Stock Level","Moderate (5 - 9)","minimal Training","Good","Junior","Junior","Just Promoted","Newly Appointed"
"607","Adult","No","Travel_Rarely","High (800 - 1199)","Human Resources","Close-by","Low","Human Resources","Moderate","Male","High (70 - 89)","Moderate","Juniors","Human Resources","High","Married","Low (< 4000)","Low (< 10000)","Low","No","Very High","Fair","Moderate","Moderate Stock Level","Just Started ( < 5)","minimal Training","Moderate","Junior","Junior","Just Promoted","Comfomrtable"
"608","Adult","No","Travel_Rarely","Moderate (400 - 799)","Human Resources","Close-by","Moderate","Life Sciences","Moderate","Female","Low (< 50)","Moderate","Juniors","Human Resources","High","Divorced","Low (< 4000)","Low (< 10000)","Moderate","Yes","Very High","Fair","Low","Higher Stock Level","Moderate (5 - 9)","minimal Training","Good","Junior","Junior","Recently Promoted","Comfomrtable"
"609","Young","No","Travel_Rarely","Very High ( > 1200","Sales","Far","Moderate","Medical","Moderate","Female","Fairly High ( > 90","High","Juniors","Sales Representative","High","Married","Low (< 4000)","Low (< 10000)","High","No","Slightly High","Fair","Low","Moderate Stock Level","Moderate (5 - 9)","Intensive Training","Good","Junior","Junior","Just Promoted","Newly Appointed"
"610","Young","No","Travel_Rarely","High (800 - 1199)","Research & Development","Close-by","Low","Technical Degree","High","Female","High (70 - 89)","Low","Juniors","Research Scientist","Low","Single","Low (< 4000)","High ( > 20000)","Low","Yes","Normal","Fair","Moderate","Low Stock Level","Just Started ( < 5)","Intensive Training","Good","Junior","Junior","Recently Promoted","Comfomrtable"
"611","Adult","No","Travel_Frequently","Moderate (400 - 799)","Research & Development","Far","High","Life Sciences","Moderate","Male","Low (< 50)","High","Associate","Manufacturing Director","High","Divorced","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Low","No","Slightly High","Fair","Low","Moderate Stock Level","Moderate (5 - 9)","Intensive Training","Good","Senior","Senior","Pending Promotion","Comfomrtable"
"612","Young","Yes","Travel_Frequently","Very High ( > 1200","Sales","Close-by","Moderate","Technical Degree","Low","Male","Fairly High ( > 90","Moderate","Juniors","Sales Representative","Moderate","Married","Low (< 4000)","Moderate (10000 - 19999)","Moderate","No","Slightly High","Fair","High","Moderate Stock Level","Moderate (5 - 9)","Intensive Training","Good","Junior","Junior","Recently Promoted","Comfomrtable"
"613","Middle Aged","No","Travel_Rarely","Moderate (400 - 799)","Sales","Far","Moderate","Medical","Moderate","Female","High (70 - 89)","Moderate","Associate","Sales Executive","Moderate","Married","Moderate (4000 - 8999)","High ( > 20000)","Moderate","Yes","Slightly High","Fair","Moderate","Moderate Stock Level","High (10 > 19)","Intensive Training","Moderate","Senior","Associate","Recently Promoted","Comfomrtable"
"614","Adult","No","Travel_Rarely","Low (< 400)","Research & Development","Very Far","Moderate","Medical","High","Male","Moderate (50 - 69)","Moderate","Associate","Manufacturing Director","Low","Married","Moderate (4000 - 8999)","Low (< 10000)","Low","Yes","Very High","High","High","Moderate Stock Level","High (10 > 19)","Intensive Training","Moderate","Experts","Experts","Pending Promotion","Experienced"
"615","Middle Aged","No","Travel_Frequently","Very High ( > 1200","Research & Development","Far","High","Medical","Moderate","Male","Moderate (50 - 69)","High","Associate","Manufacturing Director","Moderate","Divorced","Moderate (4000 - 8999)","Low (< 10000)","Low","Yes","Very High","Fair","Moderate","Low Stock Level","Very High ( > 20)","Intensive Training","Good","Experts","Experts","Recently Promoted","Experienced"
"616","Adult","No","Travel_Rarely","High (800 - 1199)","Sales","Far","Low","Life Sciences","Moderate","Female","Fairly High ( > 90","Moderate","Associate","Sales Executive","Low","Married","Moderate (4000 - 8999)","Moderate (10000 - 19999)","High","No","Slightly High","Fair","Low","Moderate Stock Level","Moderate (5 - 9)","minimal Training","Good","Junior","Junior","Recently Promoted","Comfomrtable"
"617","Adult","No","Travel_Frequently","Very High ( > 1200","Research & Development","Close-by","Low","Life Sciences","High","Female","Low (< 50)","Moderate","Associate","Research Scientist","Moderate","Single","Moderate (4000 - 8999)","Low (< 10000)","Moderate","Yes","Slightly High","Fair","High","Low Stock Level","High (10 > 19)","minimal Training","Good","Senior","Senior","Just Promoted","Experienced"
"618","Adult","No","Travel_Rarely","High (800 - 1199)","Sales","Far","Low","Life Sciences","Moderate","Male","Fairly High ( > 90","Moderate","Associate","Sales Executive","Moderate","Divorced","Moderate (4000 - 8999)","High ( > 20000)","Moderate","Yes","Slightly High","Fair","Moderate","Moderate Stock Level","High (10 > 19)","minimal Training","Good","Senior","Senior","Just Promoted","Experienced"
"619","Young","Yes","Travel_Rarely","Very High ( > 1200","Research & Development","Far","Low","Medical","High","Male","Low (< 50)","Moderate","Juniors","Research Scientist","Moderate","Single","Low (< 4000)","High ( > 20000)","Low","Yes","Normal","Fair","High","Low Stock Level","Just Started ( < 5)","Intensive Training","Good","Junior","Junior","Recently Promoted","Newly Appointed"
"620","Adult","No","Travel_Frequently","Moderate (400 - 799)","Sales","Far","Moderate","Medical","High","Male","Moderate (50 - 69)","Moderate","Associate","Sales Executive","Low","Married","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Low","No","Slightly High","Fair","Low","Higher Stock Level","Moderate (5 - 9)","minimal Training","Good","Senior","Associate","Just Promoted","Comfomrtable"
"621","Young","No","Travel_Rarely","Moderate (400 - 799)","Research & Development","Far","Moderate","Medical","Low","Female","High (70 - 89)","High","Juniors","Research Scientist","Moderate","Married","Low (< 4000)","High ( > 20000)","High","No","Slightly High","Fair","Low","Low Stock Level","Moderate (5 - 9)","minimal Training","Good","Junior","Junior","Just Promoted","Comfomrtable"
"622","Adult","No","Travel_Rarely","Low (< 400)","Research & Development","Close-by","High","Medical","High","Male","Fairly High ( > 90","Moderate","Juniors","Research Scientist","Moderate","Married","Low (< 4000)","High ( > 20000)","High","Yes","Slightly High","Fair","Low","Moderate Stock Level","Moderate (5 - 9)","minimal Training","Moderate","Junior","Junior","Just Promoted","Newly Appointed"
"623","Young","No","Travel_Rarely","High (800 - 1199)","Research & Development","Close-by","Low","Other","High","Male","Moderate (50 - 69)","Moderate","Juniors","Laboratory Technician","Moderate","Divorced","Low (< 4000)","Low (< 10000)","High","Yes","Very High","Fair","Moderate","Moderate Stock Level","Moderate (5 - 9)","minimal Training","Moderate","Junior","Junior","Just Promoted","Comfomrtable"
"624","Middle Aged","No","Travel_Rarely","Very High ( > 1200","Research & Development","Close-by","Low","Other","High","Female","Moderate (50 - 69)","Low","Associate","Manufacturing Director","High","Divorced","Moderate (4000 - 8999)","Low (< 10000)","Low","No","Very High","Fair","Low","Higher Stock Level","High (10 > 19)","Intensive Training","Good","Experts","Senior","Pending Promotion","Experienced"
"625","Adult","Yes","Travel_Frequently","High (800 - 1199)","Research & Development","Very Far","Moderate","Life Sciences","High","Male","Low (< 50)","Moderate","Juniors","Laboratory Technician","Moderate","Divorced","Low (< 4000)","Moderate (10000 - 19999)","Moderate","Yes","Very High","High","High","Moderate Stock Level","High (10 > 19)","minimal Training","Moderate","Junior","Junior","Just Promoted","Newly Appointed"
"626","Middle Aged","No","Travel_Rarely","Moderate (400 - 799)","Human Resources","Very Far","High","Medical","Low","Male","Low (< 50)","Moderate","Juniors","Human Resources","Low","Single","Low (< 4000)","Low (< 10000)","Low","No","Slightly High","Fair","Low","Low Stock Level","Moderate (5 - 9)","Intensive Training","Good","Senior","Associate","Just Promoted","Comfomrtable"
"627","Adult","No","Non-Travel","High (800 - 1199)","Sales","Very Far","Moderate","Other","Moderate","Male","Moderate (50 - 69)","Low","Associate","Sales Executive","Low","Divorced","High ( > 9000)","Moderate (10000 - 19999)","Moderate","No","Slightly High","Fair","Moderate","Moderate Stock Level","Very High ( > 20)","minimal Training","Good","Junior","Junior","Just Promoted","Newly Appointed"
"628","Middle Aged","No","Travel_Rarely","High (800 - 1199)","Research & Development","Very Far","Moderate","Technical Degree","High","Male","Fairly High ( > 90","Moderate","Juniors","Research Scientist","High","Married","Low (< 4000)","Low (< 10000)","Moderate","No","Very High","High","High","Moderate Stock Level","Moderate (5 - 9)","Intensive Training","Good","Senior","Associate","Just Promoted","Comfomrtable"
"629","Adult","Yes","Travel_Rarely","Low (< 400)","Sales","Close-by","Moderate","Marketing","High","Female","Low (< 50)","Moderate","Juniors","Sales Representative","Moderate","Single","Low (< 4000)","Low (< 10000)","Low","Yes","Slightly High","Fair","Low","Low Stock Level","Just Started ( < 5)","minimal Training","Good","Junior","Junior","Just Promoted","Newly Appointed"
"630","Middle Aged","No","Travel_Rarely","Moderate (400 - 799)","Sales","Close-by","Moderate","Other","High","Male","Moderate (50 - 69)","Moderate","Associate","Sales Executive","Low","Married","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Low","No","Very High","Fair","Low","Moderate Stock Level","Moderate (5 - 9)","Intensive Training","Good","Senior","Senior","Pending Promotion","Experienced"
"631","Middle Aged","No","Non-Travel","Moderate (400 - 799)","Research & Development","Far","High","Medical","High","Male","Low (< 50)","Moderate","Juniors","Research Scientist","High","Married","Moderate (4000 - 8999)","High ( > 20000)","Low","No","Very High","Fair","Low","Moderate Stock Level","Moderate (5 - 9)","Intensive Training","Good","Senior","Associate","Recently Promoted","Comfomrtable"
"632","Old","No","Travel_Rarely","Low (< 400)","Sales","Very Far","Moderate","Marketing","Low","Male","Moderate (50 - 69)","Low","Senior","Manager","High","Divorced","High ( > 9000)","High ( > 20000)","Moderate","No","Normal","Fair","Moderate","Moderate Stock Level","Very High ( > 20)","Intensive Training","Moderate","Junior","Junior","Just Promoted","Newly Appointed"
"633","Middle Aged","No","Travel_Rarely","Low (< 400)","Research & Development","Close-by","Moderate","Medical","High","Female","Fairly High ( > 90","Moderate","Senior","Healthcare Representative","Low","Single","High ( > 9000)","Low (< 10000)","Moderate","No","Very High","Fair","Moderate","Low Stock Level","Very High ( > 20)","Intensive Training","Good","Senior","Senior","Recently Promoted","Newly Appointed"
"634","Adult","No","Travel_Rarely","High (800 - 1199)","Research & Development","Close-by","Moderate","Medical","Moderate","Male","Low (< 50)","High","Associate","Healthcare Representative","High","Divorced","High ( > 9000)","Moderate (10000 - 19999)","Low","No","Slightly High","Fair","Low","Higher Stock Level","High (10 > 19)","Intensive Training","Moderate","Experts","Experts","Pending Promotion","Experienced"
"635","Adult","No","Travel_Frequently","Very High ( > 1200","Research & Development","Far","High","Life Sciences","Low","Male","High (70 - 89)","High","Associate","Laboratory Technician","Low","Married","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Moderate","Yes","Slightly High","Fair","High","Moderate Stock Level","Moderate (5 - 9)","Intensive Training","Good","Junior","Junior","Just Promoted","Comfomrtable"
"636","Adult","Yes","Travel_Rarely","High (800 - 1199)","Research & Development","Close-by","Moderate","Life Sciences","Low","Male","High (70 - 89)","Moderate","Juniors","Laboratory Technician","Low","Married","Low (< 4000)","Moderate (10000 - 19999)","Moderate","No","Normal","Fair","Moderate","Low Stock Level","High (10 > 19)","Intensive Training","Good","Junior","Junior","Recently Promoted","Comfomrtable"
"637","Adult","No","Travel_Rarely","Moderate (400 - 799)","Sales","Close-by","High","Marketing","Moderate","Male","Moderate (50 - 69)","Low","Associate","Sales Executive","High","Married","High ( > 9000)","Low (< 10000)","High","No","Normal","Fair","Low","Moderate Stock Level","High (10 > 19)","minimal Training","Moderate","Experts","Experts","Recently Promoted","Experienced"
"638","Adult","No","Travel_Rarely","Low (< 400)","Research & Development","Very Far","Moderate","Medical","Low","Male","High (70 - 89)","High","Juniors","Laboratory Technician","Low","Married","Low (< 4000)","Moderate (10000 - 19999)","Low","No","Very High","Fair","High","Higher Stock Level","High (10 > 19)","Intensive Training","Good","Experts","Experts","Recently Promoted","Experienced"
"639","Adult","No","Travel_Rarely","High (800 - 1199)","Research & Development","Close-by","Low","Medical","Moderate","Female","High (70 - 89)","Low","Juniors","Research Scientist","Low","Married","Low (< 4000)","Moderate (10000 - 19999)","Moderate","No","Slightly High","Fair","Low","Moderate Stock Level","High (10 > 19)","minimal Training","Moderate","Junior","Junior","Just Promoted","Comfomrtable"
"640","Adult","No","Travel_Rarely","Moderate (400 - 799)","Sales","Close-by","High","Marketing","Low","Female","High (70 - 89)","Low","Associate","Sales Representative","High","Married","Moderate (4000 - 8999)","Low (< 10000)","Moderate","Yes","Very High","High","Low","Higher Stock Level","Very High ( > 20)","Intensive Training","Moderate","Senior","Junior","Just Promoted","Comfomrtable"
"641","Young","No","Travel_Rarely","High (800 - 1199)","Sales","Far","Moderate","Marketing","High","Male","Low (< 50)","Moderate","Associate","Sales Executive","High","Single","Moderate (4000 - 8999)","Low (< 10000)","Low","No","Slightly High","Fair","Low","Low Stock Level","Moderate (5 - 9)","Intensive Training","Good","Senior","Senior","Just Promoted","Experienced"
"642","Adult","No","Travel_Rarely","Moderate (400 - 799)","Sales","Close-by","Moderate","Medical","Low","Female","Fairly High ( > 90","Low","Associate","Sales Executive","High","Married","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Low","No","Very High","Fair","Moderate","Higher Stock Level","High (10 > 19)","minimal Training","Good","Senior","Senior","Pending Promotion","Comfomrtable"
"643","Young","Yes","Travel_Rarely","Low (< 400)","Sales","Far","Low","Marketing","Low","Male","Low (< 50)","Moderate","Juniors","Sales Representative","Low","Single","Low (< 4000)","Low (< 10000)","Low","No","Slightly High","Fair","Low","Low Stock Level","Just Started ( < 5)","Intensive Training","Good","Junior","Junior","Recently Promoted","Newly Appointed"
"644","Middle Aged","No","Travel_Rarely","Low (< 400)","Sales","Far","Moderate","Life Sciences","High","Female","Moderate (50 - 69)","Moderate","Associate","Sales Executive","Moderate","Single","Moderate (4000 - 8999)","High ( > 20000)","High","No","Slightly High","Fair","Moderate","Low Stock Level","Moderate (5 - 9)","Intensive Training","Good","Senior","Associate","Just Promoted","Newly Appointed"
"645","Adult","No","Travel_Frequently","Moderate (400 - 799)","Research & Development","Close-by","Low","Life Sciences","Low","Female","Fairly High ( > 90","Moderate","Associate","Research Director","High","Single","High ( > 9000)","Moderate (10000 - 19999)","Low","Yes","Normal","Fair","Moderate","Low Stock Level","High (10 > 19)","minimal Training","Good","Experts","Experts","Pending Promotion","Experienced"
"646","Old","No","Travel_Rarely","Low (< 400)","Research & Development","Close-by","Moderate","Life Sciences","Moderate","Male","High (70 - 89)","Low","Juniors","Research Scientist","High","Married","Low (< 4000)","Low (< 10000)","Moderate","No","Slightly High","Fair","Low","Moderate Stock Level","Moderate (5 - 9)","Intensive Training","Good","Junior","Junior","Just Promoted","Newly Appointed"
"647","Old","Yes","Travel_Rarely","Moderate (400 - 799)","Research & Development","Close-by","Moderate","Medical","High","Male","High (70 - 89)","Moderate","Senior","Manager","Low","Married","High ( > 9000)","High ( > 20000)","High","Yes","Slightly High","Fair","High","Moderate Stock Level","Very High ( > 20)","minimal Training","Good","Senior","Junior","Recently Promoted","Comfomrtable"
"648","Middle Aged","No","Travel_Frequently","High (800 - 1199)","Sales","Far","Moderate","Marketing","Moderate","Female","High (70 - 89)","Moderate","Associate","Sales Executive","High","Single","High ( > 9000)","Low (< 10000)","Moderate","No","Normal","Fair","High","Low Stock Level","High (10 > 19)","Intensive Training","Good","Junior","Junior","Recently Promoted","Newly Appointed"
"649","Young","No","Travel_Rarely","High (800 - 1199)","Sales","Far","Low","Medical","High","Male","High (70 - 89)","Moderate","Juniors","Sales Representative","Low","Married","Low (< 4000)","High ( > 20000)","Low","No","Very High","High","Low","Low Stock Level","Just Started ( < 5)","Intensive Training","Good","Junior","Junior","Just Promoted","Newly Appointed"
"650","Adult","No","Non-Travel","Moderate (400 - 799)","Research & Development","Close-by","High","Life Sciences","Moderate","Male","Low (< 50)","Low","Juniors","Research Scientist","High","Married","Low (< 4000)","High ( > 20000)","Moderate","No","Slightly High","Fair","High","Higher Stock Level","Moderate (5 - 9)","minimal Training","Good","Junior","Junior","Just Promoted","Newly Appointed"
"651","Middle Aged","No","Travel_Frequently","Moderate (400 - 799)","Research & Development","Far","High","Life Sciences","Moderate","Female","Low (< 50)","Moderate","Senior","Research Director","Low","Single","High ( > 9000)","High ( > 20000)","High","Yes","Normal","Fair","High","Low Stock Level","Very High ( > 20)","Intensive Training","Good","Junior","Junior","Recently Promoted","Comfomrtable"
"652","Middle Aged","No","Travel_Rarely","Low (< 400)","Research & Development","Far","Moderate","Medical","Moderate","Female","High (70 - 89)","Moderate","Associate","Manufacturing Director","Low","Single","Moderate (4000 - 8999)","High ( > 20000)","High","Yes","Very High","Fair","High","Low Stock Level","Moderate (5 - 9)","Intensive Training","Good","Senior","Junior","Recently Promoted","Comfomrtable"
"653","Young","No","Travel_Rarely","Very High ( > 1200","Research & Development","Close-by","Moderate","Life Sciences","Low","Male","High (70 - 89)","Low","Juniors","Research Scientist","Moderate","Divorced","Low (< 4000)","Moderate (10000 - 19999)","Low","No","Slightly High","Fair","High","Moderate Stock Level","Just Started ( < 5)","minimal Training","Moderate","Junior","Junior","Just Promoted","Newly Appointed"
"654","Middle Aged","No","Travel_Rarely","High (800 - 1199)","Research & Development","Far","High","Other","Moderate","Female","Moderate (50 - 69)","Moderate","Juniors","Research Scientist","Low","Married","Low (< 4000)","Moderate (10000 - 19999)","High","No","Normal","Fair","High","Moderate Stock Level","High (10 > 19)","Intensive Training","Moderate","Senior","Junior","Pending Promotion","Experienced"
"655","Young","Yes","Non-Travel","Moderate (400 - 799)","Research & Development","Far","Moderate","Medical","Low","Female","Fairly High ( > 90","Low","Juniors","Research Scientist","Low","Single","Low (< 4000)","Low (< 10000)","Low","Yes","Very High","High","Low","Low Stock Level","Just Started ( < 5)","minimal Training","Good","Junior","Junior","Just Promoted","Newly Appointed"
"656","Adult","No","Non-Travel","Low (< 400)","Research & Development","Very Far","Low","Life Sciences","High","Male","Low (< 50)","Low","Associate","Research Scientist","Moderate","Single","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Low","No","Normal","Fair","High","Low Stock Level","Very High ( > 20)","minimal Training","Good","Experts","Experts","Pending Promotion","Experienced"
"657","Adult","No","Travel_Rarely","Low (< 400)","Research & Development","Close-by","Low","Life Sciences","Low","Male","High (70 - 89)","High","Juniors","Research Scientist","Low","Divorced","Low (< 4000)","Moderate (10000 - 19999)","Low","Yes","Normal","Fair","High","Higher Stock Level","Moderate (5 - 9)","Intensive Training","Moderate","Senior","Junior","Just Promoted","Comfomrtable"
"658","Adult","Yes","Travel_Rarely","Low (< 400)","Research & Development","Close-by","Moderate","Life Sciences","Low","Female","Moderate (50 - 69)","Moderate","Juniors","Laboratory Technician","Low","Divorced","Low (< 4000)","High ( > 20000)","Low","Yes","Normal","Fair","High","Moderate Stock Level","Just Started ( < 5)","minimal Training","Good","Junior","Junior","Just Promoted","Newly Appointed"
"659","Adult","No","Travel_Rarely","Very High ( > 1200","Sales","Far","Moderate","Marketing","Moderate","Male","Fairly High ( > 90","Moderate","Associate","Sales Executive","Low","Married","Moderate (4000 - 8999)","Low (< 10000)","Low","No","Slightly High","Fair","Moderate","Higher Stock Level","High (10 > 19)","Intensive Training","Moderate","Experts","Experts","Pending Promotion","Experienced"
"660","Adult","No","Travel_Rarely","Moderate (400 - 799)","Research & Development","Far","High","Life Sciences","Moderate","Male","Fairly High ( > 90","Moderate","Juniors","Laboratory Technician","Low","Divorced","Low (< 4000)","High ( > 20000)","Low","No","Very High","High","Low","Higher Stock Level","Moderate (5 - 9)","minimal Training","Good","Senior","Associate","Just Promoted","Comfomrtable"
"661","Adult","No","Travel_Frequently","Moderate (400 - 799)","Sales","Far","Moderate","Life Sciences","Moderate","Male","High (70 - 89)","Moderate","Associate","Sales Executive","High","Divorced","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Moderate","No","Very High","Fair","High","Moderate Stock Level","Moderate (5 - 9)","Intensive Training","Good","Junior","Junior","Recently Promoted","Comfomrtable"
"662","Adult","Yes","Travel_Frequently","Moderate (400 - 799)","Human Resources","Far","Moderate","Human Resources","Moderate","Female","Moderate (50 - 69)","Low","Juniors","Human Resources","High","Divorced","Low (< 4000)","Low (< 10000)","High","No","Normal","Fair","Moderate","Moderate Stock Level","Moderate (5 - 9)","minimal Training","Moderate","Senior","Junior","Recently Promoted","Comfomrtable"
"663","Adult","No","Non-Travel","Low (< 400)","Research & Development","Far","Moderate","Life Sciences","Low","Male","Moderate (50 - 69)","Moderate","Juniors","Research Scientist","Moderate","Single","Low (< 4000)","High ( > 20000)","Moderate","No","Slightly High","Fair","Moderate","Low Stock Level","Moderate (5 - 9)","minimal Training","Moderate","Junior","Junior","Recently Promoted","Comfomrtable"
"664","Young","No","Travel_Rarely","Moderate (400 - 799)","Research & Development","Far","Low","Medical","Low","Male","High (70 - 89)","Low","Associate","Manufacturing Director","High","Married","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Low","Yes","Slightly High","Fair","Moderate","Moderate Stock Level","High (10 > 19)","minimal Training","Moderate","Experts","Senior","Recently Promoted","Comfomrtable"
"665","Old","Yes","Travel_Rarely","Low (< 400)","Research & Development","Far","Low","Technical Degree","High","Male","High (70 - 89)","Moderate","Juniors","Laboratory Technician","Moderate","Married","Low (< 4000)","Low (< 10000)","High","No","Normal","Fair","High","Moderate Stock Level","High (10 > 19)","Intensive Training","Moderate","Experts","Experts","Pending Promotion","Experienced"
"666","Old","No","Travel_Rarely","Very High ( > 1200","Research & Development","Far","High","Medical","High","Male","Moderate (50 - 69)","Moderate","Associate","Manufacturing Director","High","Single","High ( > 9000)","High ( > 20000)","High","No","Normal","Fair","High","Low Stock Level","Very High ( > 20)","Intensive Training","Moderate","Senior","Senior","Pending Promotion","Comfomrtable"
"667","Adult","No","Travel_Rarely","Very High ( > 1200","Sales","Far","High","Technical Degree","Low","Female","Moderate (50 - 69)","Low","Associate","Sales Executive","Moderate","Married","Moderate (4000 - 8999)","Low (< 10000)","Low","Yes","Slightly High","Fair","Low","Moderate Stock Level","High (10 > 19)","Intensive Training","Good","Experts","Experts","Recently Promoted","Experienced"
"668","Middle Aged","No","Travel_Rarely","Very High ( > 1200","Research & Development","Far","High","Medical","High","Male","Moderate (50 - 69)","Moderate","Juniors","Research Scientist","Moderate","Married","Low (< 4000)","Low (< 10000)","Moderate","No","Slightly High","Fair","Low","Higher Stock Level","High (10 > 19)","minimal Training","Moderate","Junior","Junior","Just Promoted","Newly Appointed"
"669","Middle Aged","No","Travel_Rarely","Very High ( > 1200","Sales","Close-by","Low","Life Sciences","Moderate","Female","Low (< 50)","Moderate","Associate","Sales Executive","Low","Divorced","Moderate (4000 - 8999)","Low (< 10000)","Moderate","Yes","Normal","Fair","Low","Moderate Stock Level","Moderate (5 - 9)","Intensive Training","Good","Senior","Associate","Just Promoted","Comfomrtable"
"670","Young","Yes","Travel_Rarely","Moderate (400 - 799)","Sales","Far","Moderate","Marketing","Low","Female","Moderate (50 - 69)","Low","Juniors","Sales Representative","Low","Single","Low (< 4000)","Moderate (10000 - 19999)","Low","No","Slightly High","Fair","Moderate","Low Stock Level","Just Started ( < 5)","Intensive Training","Good","Junior","Junior","Recently Promoted","Comfomrtable"
"671","Young","No","Travel_Frequently","Low (< 400)","Research & Development","Close-by","Moderate","Life Sciences","High","Male","Moderate (50 - 69)","Low","Juniors","Laboratory Technician","High","Married","Low (< 4000)","Moderate (10000 - 19999)","Low","Yes","Normal","Fair","Low","Moderate Stock Level","Just Started ( < 5)","minimal Training","Good","Junior","Junior","Recently Promoted","Comfomrtable"
"672","Adult","Yes","Travel_Rarely","Low (< 400)","Sales","Far","Moderate","Life Sciences","Low","Female","High (70 - 89)","Moderate","Associate","Sales Executive","Low","Single","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Moderate","Yes","Very High","High","Moderate","Low Stock Level","High (10 > 19)","minimal Training","Moderate","Junior","Junior","Just Promoted","Newly Appointed"
"673","Adult","No","Travel_Rarely","Very High ( > 1200","Research & Development","Close-by","Moderate","Medical","Moderate","Male","Moderate (50 - 69)","Low","Juniors","Laboratory Technician","Low","Married","Moderate (4000 - 8999)","High ( > 20000)","Moderate","No","Slightly High","Fair","Low","Moderate Stock Level","Just Started ( < 5)","Intensive Training","Good","Junior","Junior","Just Promoted","Newly Appointed"
"674","Middle Aged","Yes","Travel_Frequently","Low (< 400)","Sales","Very Far","High","Life Sciences","Low","Female","Fairly High ( > 90","Moderate","Associate","Sales Executive","Low","Married","Moderate (4000 - 8999)","Low (< 10000)","Moderate","No","Slightly High","Fair","High","Higher Stock Level","Moderate (5 - 9)","Intensive Training","Good","Junior","Junior","Just Promoted","Newly Appointed"
"675","Adult","No","Travel_Rarely","Low (< 400)","Research & Development","Close-by","Moderate","Life Sciences","High","Female","Fairly High ( > 90","Moderate","Juniors","Research Scientist","Moderate","Married","Low (< 4000)","Moderate (10000 - 19999)","Moderate","No","Slightly High","Fair","Low","Moderate Stock Level","Moderate (5 - 9)","Intensive Training","Good","Junior","Junior","Recently Promoted","Comfomrtable"
"676","Adult","No","Travel_Frequently","Moderate (400 - 799)","Research & Development","Close-by","Moderate","Technical Degree","Moderate","Male","Low (< 50)","Moderate","Juniors","Research Scientist","Low","Married","Low (< 4000)","Low (< 10000)","Low","No","Normal","Fair","Moderate","Low Stock Level","High (10 > 19)","minimal Training","Moderate","Experts","Experts","Just Promoted","Experienced"
"677","Adult","No","Travel_Rarely","High (800 - 1199)","Research & Development","Far","Low","Medical","Low","Male","High (70 - 89)","Moderate","Associate","Manufacturing Director","Low","Married","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Low","No","Very High","High","High","Moderate Stock Level","High (10 > 19)","Intensive Training","Good","Experts","Junior","Pending Promotion","Experienced"
"678","Old","Yes","Travel_Rarely","Low (< 400)","Research & Development","Close-by","Moderate","Technical Degree","High","Male","Moderate (50 - 69)","Moderate","Juniors","Research Scientist","Moderate","Single","Low (< 4000)","High ( > 20000)","Moderate","No","Very High","High","Low","Low Stock Level","Moderate (5 - 9)","Intensive Training","Good","Junior","Junior","Just Promoted","Newly Appointed"
"679","Adult","No","Travel_Frequently","Moderate (400 - 799)","Research & Development","Very Far","High","Life Sciences","High","Female","Moderate (50 - 69)","Moderate","Associate","Laboratory Technician","High","Single","Low (< 4000)","Low (< 10000)","Low","No","Normal","Fair","High","Low Stock Level","High (10 > 19)","minimal Training","Good","Experts","Associate","Pending Promotion","Experienced"
"680","Adult","No","Travel_Rarely","Low (< 400)","Research & Development","Close-by","High","Life Sciences","Low","Female","High (70 - 89)","High","Juniors","Research Scientist","High","Single","Low (< 4000)","Moderate (10000 - 19999)","Moderate","No","Slightly High","Fair","Moderate","Low Stock Level","High (10 > 19)","minimal Training","Good","Senior","Junior","Recently Promoted","Comfomrtable"
"681","Adult","No","Travel_Frequently","Very High ( > 1200","Research & Development","Far","Low","Life Sciences","High","Male","Low (< 50)","Moderate","Associate","Healthcare Representative","Moderate","Divorced","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Low","No","Very High","High","Moderate","Higher Stock Level","Moderate (5 - 9)","minimal Training","Good","Senior","Senior","Recently Promoted","Experienced"
